[ 2025-03-10 12:44:47,753 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-10 12:44:48,463 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 12:44:48,463 ] 64 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[ 2025-03-10 12:44:48,463 ] 70 root - INFO - Exporting train and test file path.
[ 2025-03-10 12:44:48,519 ] 77 root - INFO - Exported train and test file path
[ 2025-03-10 12:44:48,519 ] 19 root - INFO - Data Initiation completed
[ 2025-03-10 12:44:48,527 ] 24 root - INFO - Initiate the data validation
[ 2025-03-10 12:44:48,564 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 12:44:48,564 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 12:44:48,565 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 12:44:48,565 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 12:44:48,681 ] 26 root - INFO - data Validation completed
[ 2025-03-10 12:44:48,682 ] 30 root - INFO - data transformation started
[ 2025-03-10 12:44:48,682 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-10 12:44:48,682 ] 63 root - INFO - Starting data transformation
[ 2025-03-10 12:44:48,718 ] 47 root - INFO - Entered get_data_transformer_object method of Transformer class
[ 2025-03-10 12:44:48,718 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-10 12:44:48,727 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 12:44:48,730 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 12:44:48,731 ] 34 root - INFO - data transformation completed
[ 2025-03-10 12:44:48,731 ] 37 root - INFO - Model Training start
